hh_id,ind_id,psu,strata,subsample,weight,area,region,region_01,agec4,agec2,d_cm,d_nutr,d_satt,d_educ,d_elct,d_wtr,d_sani,d_hsg,d_ckfl,d_asst,d_cm_01,d_nutr_01,d_satt_01,d_educ_01,d_elct_01,d_wtr_01,d_sani_01,d_hsg_01,d_ckfl_01,d_asst_01,mpi
10015,1001504,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,.11111111
10015,1001505,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,.11111111
10017,1001701,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,60+,18+,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10017,1001702,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10017,1001703,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10018,1001801,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,0,
10018,1001802,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,0,
10018,1001803,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,0,
10018,1001804,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,0,
10018,1001805,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,0,1,0,
10020,1002001,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,60+,18+,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,.27777779
10020,1002002,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,60+,18+,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,.27777779
10020,1002003,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,.27777779
10020,1002004,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,.27777779
10021,1002101,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,60+,18+,,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,
10021,1002102,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,60+,18+,,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,
10021,1002103,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,
10021,1002104,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,
10021,1002105,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,
10021,1002106,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,1,0,
10023,1002301,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10023,1002302,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10023,1002303,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10023,1002304,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10023,1002305,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10023,1002306,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10023,1002307,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10023,1002308,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,.11111111
10026,1002601,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,.16666667
10026,1002602,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,.16666667
10026,1002603,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,.16666667
10026,1002604,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,.16666667
10026,1002605,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,.16666667
10027,1002701,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,.11111111
10027,1002702,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,.11111111
10027,1002703,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,.11111111
10027,1002704,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,.11111111
10027,1002705,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,.11111111
10027,1002706,1,banteay meanchey - rural,selected,1.303385,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,.11111111
20002,2000201,2,banteay meanchey - rural,selected,.861492,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,.33333334
20002,2000202,2,banteay meanchey - rural,selected,.861492,rural,Banteay Meanchay,Banteay Meanchay,18-59,18+,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,.33333334
20002,2000203,2,banteay meanchey - rural,selected,.861492,rural,Banteay Meanchay,Banteay Meanchay,10-17,0-17,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,.33333334
20002,2000204,2,banteay meanchey - rural,selected,.861492,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,.33333334
20002,2000205,2,banteay meanchey - rural,selected,.861492,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,.33333334
20002,2000206,2,banteay meanchey - rural,selected,.861492,rural,Banteay Meanchay,Banteay Meanchay,0-9,0-17,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0,.33333334
20003,2000301,2,banteay meanchey - rural,selected,.861492,rural,Banteay Meanchay,Banteay Meanchay,60+,18+,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,.11111111
