psu;area;region;region_01;rate_cm;rate_nutr;rate_satt;rate_educ;rate_elct;rate_wtr;rate_sani;rate_hsg;rate_ckfl;rate_asst;depr_cm;depr_nutr;depr_educ;depr_satt;depr_wtr;depr_sani;depr_hsg;depr_elct;depr_asst;depr_ckfl;mpi_met4
54;rural;Preah Sihanouk and Koh Kong;Preah Sihanouk and Koh Kong;0.11111111;0.22222222;0.44444445;0.77777779;0.77777779;0.66666669;1;0;1;0.55555558;1;1;1;1;1;1;0;1;0;1;0.8888889
55;rural;Svay Rieng;Svay Rieng;0.23076923;0.38461539;0.30769232;0.53846157;1;0;1;1;1;0.30769232;1;1;1;1;0;1;1;1;0;1;0.8888889
56;rural;Preah Vihear and Stung Treng;Preah Vihear and Stung Treng;0;0.53846157;0.61538464;0.92307693;1;1;0.84615386;0.30769232;1;0.69230771;0;1;1;1;1;1;0;1;1;1;0.77777779
57;rural;Pursat;Pursat;0;0.2857143;0.14285715;0.21428572;1;0.2857143;0.9285714;0.35714287;1;0.071428575;0;1;1;0;0;1;0;1;0;1;0.5
58;rural;Prey Veng;Prey Veng;0;0.38461539;0.071428575;0.35714287;1;0;0.9285714;0.5714286;1;0.35714287;0;1;1;0;0;1;1;1;0;1;0.55555558
59;rural;Banteay Meanchay;Banteay Meanchay;0;0.38461539;0.42857143;0.64285713;1;0.5;1;0.9285714;1;0.42857143;0;1;1;1;1;1;1;1;0;1;0.77777779
60;rural;Phnom Penh;Phnom Penh;0;0.2857143;0.21428572;0.2857143;0.5;1;1;0.42857143;1;0.21428572;0;1;1;1;1;1;0;1;0;1;0.72222221
61;urban;Preah Vihear and Stung Treng;Preah Vihear and Stung Treng;0;0.25;0.25;0.5;0.75;0.91666669;1;0.16666667;1;0.25;0;1;1;1;1;1;0;1;0;1;0.72222221
62;rural;Pursat;Pursat;0.083333336;0.5;0.25;0;1;0.41666666;0.91666669;0.083333336;1;0;1;1;0;1;1;1;0;1;0;1;0.72222221
63;rural;Svay Rieng;Svay Rieng;0;0.5;0.07692308;0.30769232;1;0.07692308;0.84615386;0.61538464;1;0.23076923;0;1;1;0;0;1;1;1;0;1;0.55555558
64;rural;Kampong Speu;Kampong Speu;0;0.5714286;0.14285715;0.21428572;1;0.42857143;0.9285714;0.2857143;1;0;0;1;1;0;1;1;0;1;0;1;0.55555558
65;urban;Mondul Kiri and Ratanak Kiri;Mondul Kiri and Ratanak Kiri;0;0.16666667;0;0.083333336;0;0.33333334;0.41666666;0.083333336;0.75;0;0;1;0;0;1;0;0;0;0;1;0.27777779
66;rural;Siem Reap;Siem Reap;0;0.5;0.2857143;0.5714286;1;0;0.9285714;0.42857143;1;0.2857143;0;1;1;1;0;1;0;1;0;1;0.66666669
67;rural;Kampot & Kep;Kampot & Kep;0;0.46153846;0.30769232;0.69230771;1;0.46153846;1;0.69230771;1;0.15384616;0;1;1;1;1;1;1;1;0;1;0.77777779
68;rural;Preah Vihear and Stung Treng;Preah Vihear and Stung Treng;0.16666667;0.5;0.33333334;0.83333331;1;1;1;1;1;0.91666669;1;1;1;1;1;1;1;1;1;1;1
69;urban;Kampong Chhnang;Kampong Chhnang;0;0.36363637;0.45454547;0.72727275;1;1;1;0.90909094;1;0.36363637;0;1;1;1;1;1;1;1;0;1;0.77777779
70;urban;Battambang & Pailin;Battambang & Pailin;0.090909094;0.090909094;0.27272728;0.45454547;0.18181819;0.54545456;0.36363637;0.18181819;0.90909094;0.18181819;1;0;1;1;1;0;0;1;0;1;0.66666669
71;rural;Banteay Meanchay;Banteay Meanchay;0;0.23076923;0.2857143;0.2857143;0.64285713;1;0.78571427;0.5;1;0.21428572;0;1;1;1;1;1;1;1;0;1;0.77777779
72;rural;Battambang & Pailin;Battambang & Pailin;0;0.54545456;0.33333334;0.58333331;1;0.75;0.83333331;0.83333331;1;0.16666667;0;1;1;1;1;1;1;1;0;1;0.77777779
73;rural;Takeo;Takeo;0.071428575;0.42857143;0;0.14285715;1;0.85714287;0.9285714;0.5;1;0.5;1;1;1;0;1;1;1;1;0;1;0.77777779
74;rural;Kampong Chhnang;Kampong Chhnang;0;0.42857143;0.21428572;0.42857143;1;0.35714287;0.9285714;0.5;1;0.2857143;0;1;1;1;1;1;1;1;0;1;0.77777779
75;rural;Kampong Cham;Kampong Cham;0;0.5;0.1;0.69999999;1;0.2;1;0.5;1;0.30000001;0;1;1;0;0;1;1;1;0;1;0.55555558
76;urban;Battambang & Pailin;Battambang & Pailin;0.1;0.5;0.2;0.30000001;1;1;0.69999999;0.80000001;1;0.5;1;1;1;1;1;1;1;1;0;1;0.94444442
77;urban;Preah Vihear and Stung Treng;Preah Vihear and Stung Treng;0.090909094;0.5;0.27272728;0.72727275;0.81818181;0;0.90909094;0.72727275;1;0.27272728;1;1;1;1;0;1;1;1;0;1;0.8888889
78;rural;Kampong Thom;Kampong Thom;0.2857143;0.5;0.42857143;0.5714286;1;0.5;1;0.9285714;1;0.42857143;1;1;1;1;1;1;1;1;0;1;0.94444442
79;rural;Kratie;Kratie;0.071428575;0.42857143;0.071428575;0.2857143;1;0;1;0.2857143;1;0.14285715;1;1;1;0;0;1;0;1;0;1;0.66666669
80;rural;Otdar Meanchey;Otdar Meanchey;0.083333336;0.41666666;0.25;0.58333331;0.91666669;0.25;0.75;0.58333331;1;0.25;1;1;1;1;0;1;1;1;0;1;0.8888889
81;rural;Mondul Kiri and Ratanak Kiri;Mondul Kiri and Ratanak Kiri;0.21428572;0.71428573;0.5;0.9285714;1;0.5;1;0.85714287;1;0.5714286;1;1;1;1;1;1;1;1;0;1;0.94444442
82;rural;Preah Vihear and Stung Treng;Preah Vihear and Stung Treng;0.21428572;0.78571427;0.35714287;0.85714287;1;0.71428573;1;0.5;1;0.5;1;1;1;1;1;1;1;1;0;1;0.94444442
83;rural;Preah Vihear and Stung Treng;Preah Vihear and Stung Treng;0;0.38461539;0.21428572;0.5;0.78571427;0.9285714;0.5;0.42857143;1;0.71428573;0;1;1;1;1;1;0;1;1;1;0.77777779
84;rural;Pursat;Pursat;0.21428572;0.14285715;0.2857143;0.5714286;0.9285714;0.71428573;1;0.5714286;1;0.5;1;1;1;1;1;1;1;1;0;1;0.94444442
85;rural;Takeo;Takeo;0;0.30769232;0.15384616;0.15384616;1;0.69230771;0.92307693;0.15384616;1;0.23076923;0;1;1;0;1;1;0;1;0;1;0.55555558
86;urban;Preah Sihanouk and Koh Kong;Preah Sihanouk and Koh Kong;0;0.16666667;0.16666667;0.33333334;0.16666667;0.16666667;0.58333331;0.16666667;0.66666669;0.25;0;1;1;1;0;1;0;1;0;1;0.66666669
87;urban;Siem Reap;Siem Reap;0;0.41666666;0;0.33333334;0.083333336;0;0.58333331;0.16666667;0.5;0.33333334;0;1;1;0;0;1;0;0;0;1;0.44444445
88;urban;Kampong Speu;Kampong Speu;0;0.083333336;0;0;0.083333336;0.083333336;0.25;0.083333336;0.83333331;0;0;0;0;0;0;0;0;0;0;1;0.055555556
89;rural;Prey Veng;Prey Veng;0.071428575;0.21428572;0.071428575;0.21428572;1;0;0.78571427;0.71428573;1;0.21428572;1;1;1;0;0;1;1;1;0;1;0.72222221
90;urban;Battambang & Pailin;Battambang & Pailin;0;0.25;0.16666667;0;0.25;0.66666669;0;0.083333336;0.91666669;0.083333336;0;1;0;1;1;0;0;1;0;1;0.5
91;rural;Otdar Meanchey;Otdar Meanchey;0.07692308;0.07692308;0.23076923;0.53846157;1;0.69230771;1;0.23076923;1;0.30769232;1;0;1;1;1;1;0;1;0;1;0.72222221
92;urban;Kampot & Kep;Kampot & Kep;0.2;0.40000001;0.18181819;0.63636363;1;0.72727275;0.45454547;0.27272728;0.90909094;0.18181819;1;1;1;1;1;0;0;1;0;1;0.83333331
93;rural;Battambang & Pailin;Battambang & Pailin;0.16666667;0.41666666;0.5;0.58333331;1;0.83333331;1;0.83333331;1;0.58333331;1;1;1;1;1;1;1;1;0;1;0.94444442
94;rural;Svay Rieng;Svay Rieng;0;0.21428572;0.21428572;0.5714286;1;0;1;0.9285714;1;0.2857143;0;1;1;1;0;1;1;1;0;1;0.72222221
95;rural;Kampong Speu;Kampong Speu;0.15384616;0.61538464;0.38461539;0.92307693;1;0.23076923;1;0.76923078;1;0.92307693;1;1;1;1;0;1;1;1;1;1;0.94444442
96;rural;Pursat;Pursat;0.071428575;0.5714286;0.2857143;0.2857143;1;0.14285715;1;0.35714287;1;0.2857143;1;1;1;1;0;1;0;1;0;1;0.83333331
97;rural;Kampong Chhnang;Kampong Chhnang;0.071428575;0.2857143;0.071428575;0.42857143;0.9285714;0.5;0.78571427;0.5714286;1;0.5;1;1;1;0;1;1;1;1;0;1;0.77777779
98;urban;Preah Vihear and Stung Treng;Preah Vihear and Stung Treng;0.1;0.33333334;0;0.1;0.69999999;0.30000001;0.40000001;0.40000001;0.89999998;0.30000001;1;1;0;0;1;0;0;1;0;1;0.5
99;rural;Kampong Cham;Kampong Cham;0.090909094;0.27272728;0.18181819;0.45454547;1;0.18181819;1;0.36363637;1;0.18181819;1;1;1;1;0;1;0;1;0;1;0.83333331
100;rural;Preah Vihear and Stung Treng;Preah Vihear and Stung Treng;0.2857143;0.42857143;0.42857143;0.85714287;1;0.9285714;1;0.42857143;1;0.5;1;1;1;1;1;1;0;1;0;1;0.8888889
101;urban;Kampong Thom;Kampong Thom;0;0.090909094;0;0.41666666;0.66666669;0.25;0.83333331;0.41666666;1;0.25;0;0;1;0;0;1;0;1;0;1;0.33333334
102;rural;Otdar Meanchey;Otdar Meanchey;0.071428575;0.2857143;0.2857143;0.071428575;1;0.9285714;1;0;1;0.2857143;1;1;0;1;1;1;0;1;0;1;0.72222221
103;rural;Pursat;Pursat;0.23076923;0.38461539;0.23076923;0.84615386;1;0.69230771;1;0.84615386;1;0.46153846;1;1;1;1;1;1;1;1;0;1;0.94444442
104;rural;Banteay Meanchay;Banteay Meanchay;0;0.61538464;0.07692308;0.76923078;1;0.92307693;1;0.92307693;1;0.61538464;0;1;1;0;1;1;1;1;0;1;0.6111111
105;rural;Svay Rieng;Svay Rieng;0.071428575;0.46153846;0.071428575;0.071428575;1;0.071428575;0.9285714;0.71428573;1;0.14285715;1;1;0;0;0;1;1;1;0;1;0.55555558
106;rural;Kampot & Kep;Kampot & Kep;0;0.2857143;0.14285715;0.5;1;0.5;1;0.21428572;1;0.14285715;0;1;1;0;1;1;0;1;0;1;0.55555558
107;rural;Preah Sihanouk and Koh Kong;Preah Sihanouk and Koh Kong;0;0.15384616;0.23076923;0.33333334;0.07692308;0.23076923;0.30769232;0.23076923;0.84615386;0.15384616;0;1;1;1;0;0;0;0;0;1;0.55555558
108;urban;Preah Sihanouk and Koh Kong;Preah Sihanouk and Koh Kong;0;0.30000001;0.60000002;0.40000001;0.1;0.40000001;0.89999998;0.1;0.5;0.2;0;1;1;1;1;1;0;1;0;1;0.72222221
